,pmid,aff,country
34,11237810,"""Tuberculosis Research Programme, Medical Research Council Laboratories, Fajara, BANJUL, Gambia, West Africa. mklein@mrc.gm""",Gambia
35,11745380,"""Microbiology and Tumorbiology Center, Karolinska Institute, Stockholm, Sweden. jehad.charo@mtc.ki.se""",Sweden
36,15194781,"""Vaccine Branch, Center for Cancer Research, National Cancer Institute, National Institutes of Health, Bethesda, MD 20892-1578, USA.""",United States
37,9886403,"""Department of Microbiology and Immunology, University of North Carolina, Chapel Hill 27599-7290, USA. collins1@med.unc.edu""",United States
38,12816978,"""Department of Microbiology and Immunology and William K. Warren Medical Research Institute, University of Oklahoma Health Sciences Center, Oklahoma City, OK 73104, USA.""",United States
39,9366399,"""Cytel Corporation, San Diego, CA 92121, USA. alexander@cytelcorp.com""",United States
40,7510885,"""Cytel, San Diego, CA 92121.""",Canada
41,7529283,"""Cytel, San Diego, CA 92121.""",Canada
42,7532675,"""Department of Molecular and Experimental Medicine, Scripps Research Institute, La Jolla 92037.""",
43,7536628,"""Cytel, San Diego, California 92121, USA.""",United States
44,7706734,"""Surgery Branch, National Cancer Institute, National Institutes of Health, Bethesda, MD 20892, USA.""",United States
45,7732026,"""Laboratory of Molecular Immunology, Brigham &amp; Women&#x27;s Hospital, Boston, MA, USA.""",United States
46,7742526,"""Memorial Sloan-Kettering Cancer Center, New York, NY 10021, USA.""",United States
47,7823968,"""Cytel Corporation, San Diego, CA 92121.""",Canada
48,7868898,"""Surgery Branch, National Cancer Institute, National Institutes of Health, Bethesda, MD 20892.""",Moldova
49,8047072,"""Cytel, San Diego, CA 92121.""",Canada
50,8104103,"""Cytel Corporation, San Diego, California 92121.""",United States
51,8144888,"""Beirne Carter Center for Immunology Research, University of Virginia School of Medicine, Charlottesville 22908.""",United States
52,8144960,"""Department of Immunology, Cytel Corporation, San Diego, CA 92121.""",Canada
53,8196768,"""Cattedra Malattie Infettive, Universit\xc3\xa0 di Parma, Italy.""",Italy
54,8566090,"""Cytel Corporation, San Diego, CA 92121, USA.""",United States
55,8671652,"""Cytel Corporation, San Diego, CA 92121, USA.""",United States
56,8676071,"""Laboratory of Tumor Cell Biology, National Institutes of Health, Bethesda, Maryland 20892, USA.""",United States
57,8805655,"""Surgery Branch, National Cancer Institute, Bethesda, MD 20892, USA.""",United States
58,8871647,"""Cytel Corporation, San Diego, CA 92121, USA.""",United States
59,8882405,"""Cytel Corporation, San Diego, California, USA.""",United States
60,8938271,"""Cytel Corporation, San Diego, CA 92121, USA.""",United States
61,9002445,"""Takara Shuzo Co., Ltd., Biotechnology Research Laboratories, SETA 3-4-1, OTSU, SHIGA, 520-21, Japan.""",Japan
62,9029118,"""Cytel Corporation, San Diego, CA 92121, USA.""",United States
63,9079808,"""R.W. Johnson Pharmaceutical Research Institute, San Diego, CA 92121, USA. VITIELLOM@PRIUS.JNJ.COM""",United States
64,9239396,"""Department of Molecular and Experimental Medicine, The Scripps Research Institute, La Jolla, California 92037, USA.""",United States
65,9252123,"""Malaria Program, Naval Medical Research Institute, Bethesda, Maryland 20889-5670, USA.""",United States
66,9257824,"""Department of Immunology, Cytel Corporation, San Diego, CA 92121, USA.""",United States
67,9331097,"""Microbiology and Tumor Biology Center, Karolinska Institute, Stockholm, Sweden.""",Sweden
68,9377553,"""Department of Surgery, Medical Institute of Bioregulation, Kyushu University, Beppu, Japan.""",Japan
69,9410918,"""Department of Molecular &amp; Experimental Medicine, The Scripps Research Institute, La Jolla, CA 92037, USA.""",United States
70,9438205,"""Cytel Corporation, San Diego, CA 92121, USA.""",United States
71,9544234,"""Cytel Corporation, San Diego, California 92121, USA.""",United States
72,9551926,"""Surgery Branch, National Cancer Institute, Bethesda, MD 20892, USA. rongfu@pop.nci.nih.gov""",United States
73,9727076,"""Department of Cellular Biology, University of Georgia, Athens, Georgia 30602, USA.""",United States
74,9754653,"""First Department of Surgery, Yamanashi Medical University, Japan. kojikono@res.yamanashi-med.ac.jp""",Japan
75,9780224,"""Scripps Research Institute, La Jolla, CA 92037, USA.""",United States
76,9797143,"""Epimmune, Inc., San Diego, CA, USA.""",United States
77,9809996,"""Surgery Branch, National Cancer Institute, NIH, Bethesda, Maryland 20892-1502, USA. Maria_Parkhurst@nih.gov""",United States
78,9831133,"""Epimmune Inc., San Diego, CA 92121, USA. jalexander@epimmune.com""",United States
79,9862732,"""Ronald O. Perelman Department of Dermatology, New York University Medical Center, NY 10016, USA.""",United States
80,9870321,"""Center for AIDS Research at Stanford, Stanford University Medical Center, California 94305, USA. kundu@leland.stanford.edu""",United States
81,9916747,"""Department of Molecular and Experimental Medicine, Scripps Research Institute, La Jolla, CA 92037, USA.""",United States
82,9927058,"""Takara Shuzo Co., Ltd., Biotechnology Research Laboratories, Otsu, Shiga, Japan.""",Japan
83,9935237,"""Biotechnology Research Laboratories, Takara Shuzo Co., Ltd., Otsu, Shiga, Japan. nukayai@takara.co.jp""",Japan
84,10201910,"""Epimmune, San Diego, CA 92121, USA. gishioka@epimmune.com""",United States
85,10352286,"""Fondazione Andrea Cesalpino, Istituto di I Clinica Medica and Dipartimento di Malattie Infettive, Universit\xc3\xa0 di Roma La Sapienza, Italy.""",Italy
86,10395702,"""Department of Oncology and Pathology, Radiumhemmet, Karolinska Hospital, Stockholm, Sweden.""",Sweden
87,10473111,"""Department of Surgery, Medical Institute of Bioregulation, Kyushu University, Beppu, Japan.""",Japan
88,10599997,"""Epimmune, Inc., San Diego, California 92121, USA. blivingston@epimmune.com""",United States
89,11033019,"""The Ronald O. Perelman Department of Dermatology, New York University Medical Center, New York, NY 10016, USA. srr3@is.nyu.edu""",United States
90,11035079,"""Epimmune Inc., San Diego, CA 92121, USA. dmckinney@epimmune.com""",United States
91,11082510,"""Microbiology and Tumorbiology Center, Karolinska Institute, Stockholm, Sweden. victor.levitsky@mtc.ki.se""",Sweden
92,11139320,"""Department of Surgery II, Wakayama Medical School, Wakayama, 641-0012, Japan.""",Japan
93,11152503,"""Partners AIDS Research Center and Infectious Disease Unit, Massachusetts General Hospital and Harvard Medical School, Boston, Massachusetts, USA.""",United States
94,11390031,"""Foundazione Andrea Cesalpino, Dipartimento di Medicina Interna, Universit\xc3\xa0 degli Studi di Roma La Sapienza, Policlinico Umberto I, Rome, Italy.""",Italy
95,11424007,"""AIDS Research Center and Cancer Center, Massachusetts General Hospital and Harvard Medical School, Boston, MA, USA.""",United States
96,11441084,"""Epimmune, 5820 Nancy Ridge Drive, San Diego, CA 92121, USA.""",United States
97,11560998,"""Epimmune Incorporated, San Diego, CA 92121, USA.""",United States
98,11704282,"""Epimmune, Inc., San Diego, CA 92121, USA.""",United States
99,12055232,"""Epimmune, San Diego, CA 92121, USA. jalexander@epimmune.com""",United States
100,12097265,"""Surgery Branch, National Cancer Institute, NIH, Bethesda, Maryland 20892, USA. gang_zeng@nih.gov""",United States
101,12473604,"""Department of Urology, School of Medicine, Keio University, Tokyo 160-8582, Japan.""",Japan
102,12538723,"""National Cancer Institute, National Institutes of Health, Bethesda, MD 20892, USA.""",United States
103,12559623,"""Epimmune Inc., San Diego, California 92121, USA. jalexander@epimmune.com""",United States
104,12594302,"""Institute of Food Science and Technology, Consiglio Nazionale delle Ricerche, Avellino, Italy. cgianfrani@isa.av.cnr.it""",Italy
105,12886016,"""Malaria Program, Naval Medical Research Center, Silver Spring, MD 20910-7500, USA.""",United States
106,1331239,"""Biological Resources Branch, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, MD 20892.""",Moldova
107,8384718,"""Department of Tumor Biology, Karolinska Institute, Stockholm, Sweden.""",Sweden
108,9634482,"""Institute of Cell Biology, Department of Immunology, Auf der Morgenstelle 15 (Verf\xc3\xbcgungsgeb\xc3\xa4ude), D-72076 T\xc3\xbcbingen, Germany.""",Germany
109,10553078,"""Anthony Nolan Research Institute, The Royal Free and University College Medical School, London, United Kingdom.""",United Kingdom
110,7506728,"""Biological Resources Branch, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, MD 20892.""",Moldova
111,7528217,"""Laboratory of Molecular Structure, NIAID, National Institutes of Health, Bethesda, Maryland 20892.""",United States
112,2247148,"""Ludwig Institute for Cancer Research, Stockholm, Sweden.""",Sweden
113,7529284,"""Department of Biochemistry and Molecular Biology, Harvard University, Cambridge, MA 02138.""",United States
114,7684681,"""Department of Immunohematology and Blood Bank, University Hospital, Leiden, The Netherlands.""",Netherlands
115,8617300,"""Institute of Molecular Medicine, John Radcliffe Hospital, Oxford, GB.""",United Kingdom
116,7694806,"""Department of Biochemistry and Molecular Biology, Howard Hughes Medical Institute, Harvard University, Cambridge, Massachusetts 02138.""",United States
117,12796775,"""Division of Structural Biology, The Henry Wellcome Building for Genomic Medicine, Roosevelt Drive, Oxford OX3 7BN, UK.""",United Kingdom
118,2017257,"""Department of Biochemistry and Molecular Biology, Harvard University, Cambridge, Massachusetts 02138.""",United States
119,7679507,"""Biological Resources Branch, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, MD 20892.""",Moldova
120,2062316,"""Department of Pharmacology, University of Massachusetts Medical School, Worcester 01655.""",United States
121,2480387,"""Institute of Molecular Medicine, John Radcliffe Hospital, Oxford, England.""",United Kingdom
122,9647225,"""Laboratoire d&#x27;Immunologie des Pathologies Infectieuses et Tumorales, Institut National de la Sant\xc3\xa9 et de la Recherche M\xc3\xa9dicale, U445, Universit\xc3\xa9 Ren\xc3\xa9 Descartes, Paris, France. ostankovitch@cochin.inserm.fr""",France
123,7889404,"""Department of Microbiology and Immunology, University of North Carolina, Chapel Hill 27599-7290.""",United States
124,8494822,"""Molecular Immunology Section, National Institute of Neurological Disorders and Stroke, National Institutes of Health, Bethesda, MD 20892.""",Moldova
125,1372560,"""Institute of Molecular Medicine, John Radcliffe Hospital, Oxford, GB.""",United Kingdom
126,2126195,"""Institute of Molecular Medicine, John Radcliffe Hospital, Oxford, UK.""",United Kingdom
127,1448154,"""Department of Biochemistry and Molecular Biology, Harvard University, Cambridge, Massachusetts 02138.""",United States
128,7523137,"""Molecular Immunology Group, Institute of Molecular Medicine, John Radcliffe Hospital, Headington, Oxford.""",United Kingdom
129,7547687,"""Department of Microbiology, University of Virginia, Charlottesville 22908, USA.""",United States
130,7543776,"""Laboratory of Molecular Structure, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, Maryland 20892, USA.""",United States
131,7679646,"""Institute of Molecular Medicine, John Radcliffe Hospital, Oxford, GB.""",United Kingdom
132,7542549,"""Institute of Molecular Medicine, John Radcliffe Hospital, Oxford, England.""",United Kingdom
133,3264322,"""Institute for Molecular Medicine, John Radcliffe Hospital, Oxford, United Kingdom.""",United Kingdom
134,2553813,"""Molecular Immunology Section, National Institute of Neurological Disorders and Bethesda, MD 20892.""",Moldova
135,7525458,"""Max-Planck-Institut f\xc3\xbcr Biologie, Abteilung Immungenetik, Universit\xc3\xa4t T\xc3\xbcbingen, Germany.""",Germany
136,11689620,"""Liver Diseases Section, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health, Bethesda, Maryland 20982, USA.""",United States
137,15657948,"""The Division of Structural Biology, The Wellcome Trust Centre for Human Genetics, Oxford, UK.""",United Kingdom
138,9725236,"""Kuzell Institute for Arthritis and Infectious Diseases, California Pacific Medical Center Research Institute, San Francisco 94115, USA. nahid@cooper.cpmc.org""",United States
139,8642561,"""Institut de Biologie Mol\xc3\xa9culaire et Cellulaire, UPR 9021 CNRS, Strasbourg, France.""",France
140,16462803,"""Division of Immunology, The Netherlands Cancer Institute, Plesmanlaan 121, 1066 CX, Amsterdam, The Netherlands.""",Netherlands
141,16210487,"""Department of Microbiology and Immunology, City University of New York Medical School, New York, New York 10031, USA.""",United States
142,9240420,"""Department of Parasitology, Chiba University School of Medicine, Chuo-ku, Japan. yano@med.m.chiba-u.ac.jp""",Japan
143,16172378,"""La Jolla Institute for Allergy and Immunology, 3030 Bunker Hill Street, Suite 326, San Diego, CA 92109, USA.""",United States
144,16210659,"""La Jolla Institute for Allergy and Immunology, San Diego, CA 92109, USA.""",United States
145,16175596,"""Department of Medicine II, University Hospital Freiburg, Freiburg, Germany.""",Germany
146,15867491,"""Unit\xc3\xa9 d&#x27;Immunopathologie Virale, Centre de Recherche, H\xc3\xb4pital Sainte-Justine, Montreal, Quebec, Canada.""",Canada
147,7643853,"""Cytel Corporation, San Diego, CA 92121, USA.""",United States
148,11964304,"""Department of Infectious Diseases and Microbiology, Graduate School of Public Health, University of Pittsburgh, Pennsylvania 15261, USA.""",United States
149,16393977,"""Department of Biochemistry and Molecular Biology, University of Ferrara, Ferrara, Italy.""",Italy
150,15939790,"""Department of Medicine, Johns Hopkins Medical Institutions, Baltimore, MD 21231, USA. acox@jhmi.edu""",United States
151,9680137,"""Department of Tumour Biology, Institute of Medical Science, University of Tokyo, Japan.""",Japan
152,12100728,"""Department of Biochemistry and Molecular Biology, University of Ferrara, Italy.""",Italy
153,11754355,"""Dipartimento di Biochimica e Biologia Molecolare, Universit\xc3\xa0 di Ferrara, Ferrara, Italy.""",Italy
154,11732011,"""Unit\xc3\xa9 Mixte CNRS BioM\xc3\xa9rieux UMR 2142, Lyon, France.""",France
155,12634388,"""Cancer Research U.K. Viral Oncology Group, The Wolfson Institute for Biomedical Research, University College London, United Kingdom.""",United Kingdom
156,11281563,"""Department of Internal Medicine, Medical School and University Clinic, University of Navarra, Pamplona, Spain. psarobe@unav.es""",Spain
157,12428245,"""IRCCS Policlinico San Matteo, Pavia, Italy.""",Italy
158,12021342,"""Liver Diseases Section, NIDDK, National Institutes of Health. Laboratory of Hepatitis Research, Center for Biologics Evaluation and Research, Food and Drug Administration, Bethesda, Maryland 20892, USA.""",United States
159,10432280,"""Department of Internal Medicine, University Hospital, Inselspital, 3010 Bern, Switzerland.""",Switzerland
160,9739058,"""Molecular Immunogenetics and Vaccine Research Section, Metabolism Branch, National Cancer Institute, National Institutes of Health, Bethesda, Maryland 20892, USA.""",United States
161,12438599,"""Unit\xc3\xa9 Mixte CNRS-BioM\xc3\xa9rieux, UMR 2142, Ecole Normale Sup\xc3\xa9rieure, 46 All\xc3\xa9e d&#x27;Italie, 69364 Lyon C\xc3\xa9dex 07, France.""",France
162,16140790,"""Infectious Diseases Unit, Center of Molecular Medicine, Karolinska Institutet, Karolinska University Hospital L08:03, SE-17177 Stockholm, Sweden. oscar.norbeck@cmm.ki.se""",Sweden
163,15939788,"""Department of Medicine, Portland Veterans Administration Medical Center, Oregon Health Science University, Portland, OR 97239, USA.""",United States
164,9753499,"""Liver Research Unit, Chang Gung Memorial Hospital, Chang Gung University College of Medicine, Taipei, Taiwan.""",Taiwan
165,16781760,"""Vaccine Branch, National Cancer Institute, National Institutes of Health, Bldg. 10-Rm 6B-09, NIH, Bethesda, MD 20892-1578, USA. sangkono@baylorhealth.edu""",United States
166,7884894,"""Liver Diseases Section, National Institute of Diabetes and Digestive and Kidney Diseases, Bethesda, Maryland.""",United States
167,16912286,"""Molecular and Integrative Neurosciences Department, The Scripps Research Institute, La Jolla, CA 92037, USA. jbotten@scripps.edu""",United States
168,16987064,"""Department of Microbiology, Saitama Medical School, Saitama, Japan.""",Japan
169,16887973,"""Center for Molecular Immunology and Center for Molecular Virology, Institute of Microbiology, Chinese Academy of Sciences (CAS), Beijing, The People&#x27;s Republic of China.""",China
170,16630549,"""Department of Ophthalmology, Mackay Memorial Hospital, Taipei 104, Taiwan.""",Taiwan
171,11084612,"""Department of Internal Medicine I, University of Bonn, Bonn, Germany.""",Germany
172,14634108,"""Division of Translational Immunology and Biodefense, La Jolla Institute for Allergy and Immunology, San Diego, CA 92121, USA.""",United States
173,10603392,"""Molecular Immunology Group, Institute of Molecular Medicine, Nuffield Department of Medicine, University of Oxford, John Radcliffe Hospital, Oxford OX3 9DU, United Kingdom. Mha3@cdc.gov""",United Kingdom
174,12722940,"""Institute of Basic Medical Sciences, Chinese Academy of Medical Sciences, School of Basic Medicine, Peking Union Medical College, Beijing, PR China.""",China
175,11552688,"""BIC-KRDL, Kent Ridge Digital Labs, 21 Heng Mui Keng Terrace, Singapore 119613. vladimir@krdl.org.sg""",Singapore
176,11012624,"""Division of Geographic Medicine, Case Western Reserve University School of Medicine, Cleveland, OH 44106-4983, USA.""",United States
177,9864030,"""Centro de Biolog\xc3\xada Molecular Severo Ochoa, Consejo Superior de Investigaciones Cient\xc3\xadficas and Universidad Aut\xc3\xb3noma de Madrid, Facultad de Ciencias, Cantoblanco, Spain.""",Spain
178,7535817,"""Institute of Biochemistry, University of Lausanne, Epalinges, Switzerland.""",Switzerland
179,1280333,"""Institute of Molecular Medicine, University of Oxford, John Radcliffe Hospital, UK.""",United Kingdom
180,12078650,"""Instituto de Immunologi\xc3\xa1 del Valle, Universidad del Valle, Cali, Colombia. marami@inmuno.univalle.edu.co""",Colombia
181,7595214,"""Malaria Program, Naval Medical Research Institute, Bethesda, Maryland 20889, USA.""",United States
182,7493916,"""Department of Pathology, Asahikawa Medical College.""",
183,8649443,"""Genetic Engineering Research Institute, Korea Institute of Science and Technology, Taejon, Korea.""",South Korea
184,9282783,"""Korea Research Institute of Bioscience and Biotechnology, Taejon, South Korea.""",South Korea
185,12399208,"""Division for Development of Peptide Therapeutics, TherapiaGene Corp, 341 Pojung-ri, Koosung-Myon, Yongin City, Kyonggi-do 449-910, South Korea.""",South Korea
186,8567982,"""Liver Research Unit, Chang Gung Memorial Hospital, Chang Gung Medical College, Taipei, Taiwan.""",Taiwan
187,8617954,"""Department of Immunohematology and Blood Bank, University Hospital Leiden, The Netherlands.""",Netherlands
188,7683326,"""Department of Molecular and Experimental Medicine, Scripps Research Institute, La Jolla, CA 92037.""",Canada
189,7679709,"""Department of Molecular and Experimental Medicine, Scripps Research Institute, La Jolla, California 92037.""",United States
190,9328331,"""Cattedra Malattie Infettive, Universit\xc3\xa1 di Parma, e Divisione Malattie Infettive e Immunopatologia Virale, Azienda Ospedaliera di Parma, Italy.""",Italy
191,8624812,"""Nuffield Department of Clinical Medicine, Institute of Molecular Medicine, John Radcliffe Hospital, Oxford, United Kingdom.""",United Kingdom
192,10544195,"""Institut National de la Sant\xc3\xa9 et Recherche Medicale (INSERM) U25, H\xc3\xb4pital Necker, 75015 Paris, France.""",France
193,16156661,"""Pure Protein L.L.C., Oklahoma City, Oklahoma 73104-3698, USA. rico-buchli@ouhsc.edu""",United States
194,1658152,"""Cytel, San Diego, CA 92121.""",Canada
195,10540322,"""Unit\xc3\xa9 d&#x27;Immunit\xc3\xa9 Cellulaire Antivirale, D\xc3\xa9partement SIDA-R\xc3\xa9trovirus, Institut Pasteur, Paris, France. hfirat@pasteur.fr""",France
196,11451178,"""Division of Viral Immunology, Center for AIDS Research, Kumamoto University, Japan.""",Japan
197,15820153,"""Institut National de la Sant\xc3\xa9 et de la Recherche M\xc3\xa9dicale, Unit\xc3\xa9 370, Institut Pasteur, Unit\xc3\xa9 carcinogen\xc3\xa8se h\xc3\xa9patique et virologie mol\xc3\xa9culaire, D\xc3\xa9partement de m\xc3\xa9decine mol\xc3\xa9culaire, 28, rue du Dr. Roux, 75724 Paris cedex 15, France.""",France
198,10488697,"""Department of Internal Medicine, Johannes Gutenberg-University Mainz, Germany.""",Germany
199,17123567,"""Department of Microbiology and Immunology, City University of New York Medical School, New York, NY 10031, USA.""",United States
200,17166907,"""Molecular and Integrative Neurosciences Department, The Scripps Research Institute, SP30-2020, 10550 North Torrey Pines Road, La Jolla, CA 92037, USA. jbotten@scripps.edu""",United States
201,17254671,"""Laboratory of Cellular Immunology, Department of Medical Anatomy, The Panum Institute, University of Copenhagen, Blegdamsvej 3, 2200 Copenhagen N, Denmark.""",Denmark
202,17291638,"""EpiVax, Inc., Providence, RI 02903, USA.""",United States
203,17109345,"""Division of Clinical Virology, Karolinska Institutet at Karolinska University Hospital Huddinge, S-141 86, Stockholm, Sweden.""",Sweden
204,17225159,"""Department of Gastroenterology and Metabology, Graduate School of Medicine, Ehime University, Toh-on, Ehime, Japan.""",Japan
205,11566321,"""Departamento de Biolog\xc3\xada Molecular, Instituto de Parasitolog\xc3\xada y Biomedicina L\xc3\xb3pez Neyra, CSIC, Calle Ventanilla 11, 18001-Granada, Spain.""",Spain
206,12737989,"""Unit\xc3\xa9 d&#x27;immunit\xc3\xa9 cellulaire antivirale, D\xc3\xa9partement d&#x27;immunologie, Institut Pasteur, 28, rue du Dr-Roux, 75724 cedex 15, Paris, France.""",France
207,16879036,"""Center for Tropical and Emerging Global Diseases, University of Georgia, Athens, Georgia, United States of America.""",Georgia
208,15848276,"""Laborat\xc3\xb3rio de Imunologia, Heart Institute, Instituto do Cora\xc3\xa7\xc3\xa3o (InCor), Faculdade de Medicina da Universidade de S\xc3\xa3o Paulo, Av Dr En\xc3\xa9as de Carvalho Aguiar, 44 BL 2, 9 andar, S\xc3\xa3o Paulo-SP 05403-000, Brazil.""",Brazil
209,9521052,"""Tumor Immunology Laboratory, EBV Unit, Queensland Institute of Medical Research, Brisbane, Australia. rajivK@qimr.edu.au""",Australia
210,7682013,"""Department of Tumor Biology, Karolinska Institute, Stockholm, Sweden.""",Sweden
211,8642295,"""Microbiology and Tumor Biology Center, Karolinska Institute, Stockholm, Sweden.""",Sweden
212,7609055,"""Institut f\xc3\xbcr Medizinische Mikrobiologie und Hygiene, Universit\xc3\xa4t Regensburg, Germany.""",Germany
213,9658107,"""EBV Unit, Queensland Institute of Medical Research, The Bancroft Centre, Herston, Queensland 4006, Australia. norbertK@qimr.edu.au""",Australia
214,10843661,"""Department of Microbiology and the Carter Immunology Center, University of Virginia, Charlottesville 22908, USA.""",United States
215,11428932,"""Department of Pharmaceutical Sciences and Biotechnology Center, University of Ferrara, I-44100 Ferrara, Italy. mru@dns.unife.it""",Italy
216,16307312,"""Department of Pathology, Kaohsiung Medical University, Kaohsiung, Taiwan.""",Taiwan
217,14550813,"""Medizinische Klinik II, Institut f\xc3\xbcr Zellbiologie, Eberhard-Karls-Universit\xc3\xa4t T\xc3\xbcbingen, T\xc3\xbcbingen, Germany.""",Germany
218,12057851,"""Growth Factor Division, National Cancer Center Research Institute, 5-1-1 Tsukiji, Chuo-ku, Tokyo 104, Japan. yaakiyam@gan2.res.ncc.go.jp""",Japan
219,8393442,"""Molecular Biology Section, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, Maryland 20892.""",United States
220,17429413,"""Aeras Global TB Vaccine Foundation, Bethesda, MD, USA.""",United States
221,11961268,"""Department of Biotechnology, College of Engineering, Yonsei University, 134 Shinchon-Dong, Seodaemun-Gu, Seoul 120-749, South Korea1.""",South Korea
222,11961268,"""Mogam Biotech. Institute, 341 Pojung-ri, Koosung-myun, Yongin-city Kyonggi-do 449-910, South Korea2.""",South Korea
223,8706347,"""Department of Biochemistry and Molecular Biology, University of Ferrara, Italy.""",Italy
224,11591805,"""Medical Department I, Klinikum Benjamin Franklin, Freie Universit\xc3\xa4t Berlin, Berlin, Germany.""",Germany
225,12033779,"""Institut f\xc3\xbcr Virologie, Johannes Gutenberg-Universit\xc3\xa4t Mainz, Obere Zahlbacher Strasse 67, 55131, Mainz, Germany.""",Germany
