,type,affiliation
111,university,"""Department of Chemistry, University of Virginia, Charlottesville 22901, USA."""
112,university,"""School of Medicine, University of Queensland, Brisbane, Australia."""
113,university,"""Department of Transfusion Medicine, Hannover Medical School, Carl-Neuberg-Strasse 1, 30625, Hannover, Germany."""
114,university,"""School of Life Sciences, University of Science and Technology of China, Hefei 230027, China; CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Chinese Academy of Sciences, Beijing 100101, China;"""
115,hospital,"""Department of Statistics, Population and Primary Care Medicine, Faculty of Medicine, University of Southampton, Southampton General Hospital, Tremona Road, Southampton S016 6YD, UK."""
116,university,"""Department of Health Technology, The Technical University of Denmark, Lyngby, Denmark."""
117,university,"""From the \xe2\x80\xa1Ludwig Institute for Cancer Research, University of Lausanne, 1066 Epalinges, Switzerland; Michal.bassani@chuv.ch."""
118,university,"""the Department of Cell Biology and Molecular Genetics, University of Maryland, College Park, Maryland 20742, and."""
119,hospital,"""Nuffield Dept. of Clinical Medicine, John Radcliffe Hospital, Oxford University, Oxford, UK."""
120,institute,"""Human Immunology Section, Vaccine Research Center, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, Maryland, USA."""
121,university,"""Department of Microbiology and Immunology, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599, USA."""
122,university,"""Lustgarten Pancreatic Cancer Research Laboratory, Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University School of Medicine, Baltimore, MD 21287, USA."""
123,institute,"""Biomolecular Interactions, Max-Planck-Institute for Developmental Biology, T\xc3\xbcbingen, Germany."""
124,private,"""Veterans Administration Tennessee Valley Healthcare System, Nashville, TN, USA."""
125,hospital,"""Cardiff University School of Dentistry, University Hospital, Heath Park, Cardiff, United Kingdom."""
126,university,"""Infection and Immunity Program, Monash University, Clayton, VIC 3800, Australia; Department of Biochemistry and Molecular Biology, Biomedicine Discovery Institute, Monash University, Clayton, VIC 3800, Australia;"""
127,institute,"""Laboratory of Molecular Biology and Immunology, National Institute on Aging, NIH, Baltimore, MD 21224, USA. Electronic address: wengn@mail.nih.gov."""
128,institute,"""Microbiology and Tumor Biology Center, Karolinska Institute, Stockholm, Sweden. elelev@ki.se"""
129,institute,"""Instituto de Parasitolog\xc3\xada y Biomedicina L\xc3\xb3pez Neyra, Consejo Superior de Investigaciones Cient\xc3\xadficas (IPBLN-CSIC), Parque Tecnol\xc3\xb3gico de Ciencias de la Salud, Avenida del Conocimiento, s/n.18016, Granada, Spain."""
130,private,"""Division of Cancer Immunotherapy, Exploratory Oncology Research and Clinical Trial Center, National Cancer Center, Kashiwa, Japan."""
131,university,"""Laboratory of Cellular and Molecular Immunology, Eye Institute, University of California Irvine, School of Medicine, Irvine, CA 92697, USA."""
132,institute,"""National Research Center for Hematology, Moscow, Russia."""
133,university,"""Division of Infectious Diseases School of Medicine, Emory University School of Medicine, Atlanta, Georgia, United States of America."""
134,university,"""University of T\xc3\xbcbingen, Interfaculty Institute for Cell Biology, Department of Immunology, Auf der Morgenstelle 15, 72076 T\xc3\xbcbingen, Germany; German Cancer Consortium (DKTK) and German Cancer Research Center (DKFZ) partner site T\xc3\xbcbingen, Germany."""
135,university,"""Department of Pharmaceutical Sciences and Biotechnology Center, University of Ferrara, I-44100 Ferrara, Italy. mru@dns.unife.it"""
136,university,"""Computational and Systems Immunology Program, Stanford University School of Medicine, Stanford, CA 94305, USA."""
137,university,"""Molecular and Integrative Neurosciences Department, The Scripps Research Institute, La Jolla, CA 92037, USA. jbotten@scripps.edu"""
138,institute,"""Israel Institute for Biological Research, Ness Ziona, Israel."""
139,university,"""INSERM UMR 1186, Integrative Tumour Immunology and Genetic Oncology, Gustave Roussy, EPHE, PSL, Fac. de M\xc3\xa9decine, Univ. Paris-Sud, Universit\xc3\xa9 Paris-Saclay, 94805, Villejuif, France. Fathia.Mami-Chouaib@gustaveroussy.fr."""
140,private,"""Biomarin Pharmaceutical, 790 Lincoln Ave, San Rafael, CA, 94901, USA."""
141,university,"""School of Life Sciences, University of Science and Technology of China, Hefei, 230027, China."""
142,university,"""Department of Biochemistry and Molecular Biology, School of Biomedical Sciences, Monash University, Clayton, Victoria 3800, Australia;"""
143,institute,"""Cancer and Inflammation Program, National Cancer Institute-Frederick, Frederick, Maryland, USA."""
144,institute,"""Victorian Infectious Diseases Reference Laboratory, Peter Doherty Institute for Infection and Immunity, Parkville, Victoria 3000, Australia;"""
145,institute,"""Scripps Research Institute, La Jolla, CA 92037, USA."""
146,institute,"""Center for Patient Derived Models, Dana-Farber Cancer Institute, Boston, MA, USA."""
147,private,"""Immatics Biotechnologies GmbH, 72076 T\xc3\xbcbingen, Germany."""
148,hospital,"""Tasmanian Vaccine Trial Centre, Launceston General Hospital, Launceston, TAS, Australia."""
149,university,"""Institut f\xc3\xbcr Biochemie, Charit\xc3\xa9-Universit\xc3\xa4tsmedizin Berlin, 10117 Berlin, Germany."""
150,university,"""Biochemistry and Molecular Biology, Bio21 Molecular Science and Biotechnology Institute, University of Melbourne, 30 Flemington Rd, Parkville, VIC, Australia."""
151,university,"""Department of Immunology, Institute for Cell Biology, University of T\xc3\xbcbingen, 72076 T\xc3\xbcbingen, Germany."""
152,institute,"""Cancer and Inflammation Program, National Cancer Institute-Frederick, Frederick, MD 21702, USA."""
153,university,"""Department of Biochemistry and Molecular Biology, Biomedicine Discovery Institute, Monash University, Clayton, VIC, 3800, Australia."""
154,university,"""Institut f\xc3\xbcr Immungenetik, Charit\xc3\xa9-Universit\xc3\xa4tsmedizin Berlin, Freie Universit\xc3\xa4t Berlin, Thielallee 73, 14195 Berlin, Germany; Ziegler Biosolutions, Fahrgasse 5, 79761 Waldshut-Tiengen, Germany."""
155,institute,"""Molecular Immunology Section, National Institute of Neurological Disorders and Bethesda, MD 20892."""
156,hospital,"""Victorian Infectious Diseases Service, The Royal Melbourne Hospital, and Doherty Department University of Melbourne, at the Peter Doherty Institute for Infection and Immunity, Parkville, VIC, Australia."""
157,university,"""Department of Pathology, Stanford University, Stanford, California 94305, USA."""
158,private,"""Clinical Cooperation Unit Translational Immunology, German Cancer Consortium (DKTK), DKFZ Partner Site, T\xc3\xbcbingen, Germany."""
159,university,"""Department of Microbiology and Immunology, Loyola University Chicago, Maywood, Illinois, USA;"""
160,private,"""A2 Biotherapeutics, Agoura Hills, CA."""
161,university,"""\xc2\xa7Department of Ophthalmology, University Medical Center Utrecht, The Netherlands."""
162,institute,"""St. Anna Kinderkrebsforschung e.V., Children&#x27;s Cancer Research Institute, Vienna, Austria."""
163,university,"""Departments of Molecular and Cellular Physiology and Structural Biology, Stanford University School of Medicine, Stanford, CA 94305, USA."""
164,institute,"""Renal Research Laboratory, Queensland Health/Queensland Institute of Medical Research, Brisbane, QLD, Australia."""
165,university,"""Lustgarten Laboratory for Pancreatic Cancer Research, Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University School of Medicine, Baltimore, MD, USA. sbzhou@jhmi.edu."""
166,university,"""Department of Biochemistry and Molecular Biology, Howard Hughes Medical Institute, Harvard University, Cambridge, Massachusetts 02138."""
167,university,"""Department of Genomic Medicine, The University of Texas MD Anderson Cancer Center, Houston, TX, USA."""
168,university,"""The Jenner Institute, Mass Spectrometry Laboratory, University of Oxford, Oxford OX3 7FZ, United Kingdom."""
169,university,"""Department of Cell Biology , Harvard Medical School , Boston , Massachusetts 02115 , United States."""
170,private,"""Information and Communications Technologies , National Research Council Canada , 1200 Montreal Road , Ottawa , Ontario , Canada , K1A 0R6."""
171,hospital,"""Department of Pathology, Charles Nicolle Hospital and Faculty of Medicine of Tunis, Tunis, Tunisia."""
172,university,"""Department of Cell Biology II, Netherlands Cancer Institute, Amsterdam, Netherlands."""
173,university,"""Department of Chemistry and Biochemistry, University of Notre Dame, Notre Dame, IN, USA. brian-baker@nd.edu."""
174,private,"""\xc2\xb6\xc2\xb6\xc2\xb6Association for Cancer Immunotherapy (CIMT), Langenbeckstr. 1,55131 Mainz, Germany."""
175,university,"""School of Life Sciences, University of Science and Technology of China, Hefei 230027, China; CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Chinese Academy of Sciences, Beijing 100101, China; National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Beijing 102206, China; and Research Network of Immunity and Health, Beijing Institutes of Life Science, Chinese Academy of Sciences, Beijing 100101, China gaof@im.ac.cn."""
176,university,"""Institute for Transfusion Medicine, Hannover Medical School, Carl-Neuberg-Str. 1, 30625, Hannover, Germany."""
177,university,"""College of Laboratory Medicine and Life Sciences, Wenzhou Medical University, Wenzhou, China wap@ism.cams.cn gaof@im.ac.cn liujun@ivdc.chinacdc.cn."""
178,university,"""Department of Cell Biology, Faculty of Science, Charles University, Prague, Czech Republic."""
179,private,"""Immatics, Biotechnologies GmbH, Tuebingen, Germany."""
180,institute,"""Institute of Pharmaceutical Sciences, ETH Zurich, Zurich, Switzerland."""
181,institute,"""China-Japan Joint Laboratory of Molecular Immunology and Molecular Microbiology, Institute of Microbiology, Chinese Academy of Sciences, Beijing, China."""
182,hospital,"""MRC Human Immunology Unit, Weatherall Institute of Molecular Medicine, John Radcliffe Hospital, University of Oxford, Oxford OX3 9DS, UK."""
183,hospital,"""Division of Oncology, Center for Childhood Cancer Research, Children&#x27;s Hospital of Philadelphia, Philadelphia, PA, United States."""
184,university,"""Marie Bashir Institute for Infectious Diseases and Biosecurity, School of Life and Environmental Sciences and School of Medical Sciences, The University of Sydney, Westmead, New South Wales, Australia."""
185,hospital,"""Institute of Pathology, University Hospital of T\xc3\xbcbingen, T\xc3\xbcbingen, Germany; German Cancer Consortium (DKTK), DKFZ partner site T\xc3\xbcbingen, T\xc3\xbcbingen, Germany."""
186,institute,"""Division of Virology and Immunology, Mogam Biotech. Institute, Koosung-myun, Yongin-city Kyonggi-do, South Korea."""
187,university,"""Department of Pathobiology and Diagnostic Investigation, Michigan State University, East Lansing, MI 48824, USA."""
188,hospital,"""The Research Center of Stem Cell, Tissue and Organ Engineering, Kunming General Hospital of PLA, Kunming, China."""
189,university,"""Centre for Immuno-oncology, Nuffield Department of Medicine, University of Oxford, Oxford, UK."""
190,university,"""Lung Immunology Group, Department of Medicine, Imperial College London , London , UK."""
191,university,"""School of Chemistry and Molecular Biosciences, The University of Queensland, St Lucia, QLD, 4072, Australia."""
192,university,"""Department of Molecular and Cellular Biology, Howard Hughes Medical Institute, Harvard University, Cambridge, Massachusetts 02138, USA."""
193,university,"""Institute of Infection and Immunity, Cardiff University, School of Medicine, Cardiff, United Kingdom."""
194,university,"""Department of Microbiology and Immunology, Yong Loo Lin School of Medicine, National University of Singapore, Singapore, 117545, Singapore."""
195,university,"""Centro de Biolog\xc3\xada Molecular Severo Ochoa (C.S.I.C.-U.A.M.), Universidad Aut\xc3\xb3noma de Madrid, Facultad de Ciencias, Cantoblanco, 28049 Madrid, Spain."""
196,university,"""Harvard Medical School, Boston, MA, USA."""
197,institute,"""World Health Organization (WHO) Collaborating Centre for Reference and Research on Influenza, at The Peter Doherty Institute for Infection and Immunity, Melbourne, Victoria, Australia."""
198,university,"""Department of NHC Key Laboratory of Medical Virology and Viral Diseases, National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Beijing, China."""
199,university,"""Cancer Vaccine Center and Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA;"""
200,university,"""Division of Infection and Immunity, School of Medicine, Cardiff University, Cardiff, United Kingdom."""
