,pmid,aff,year,country,institution_type
24,12972510,"""Center for Pulmonary and Infectious Disease Control, University of Texas Health Center, 11937 U.S. Hwy. 271, Tyler, TX 75708-3154, USA. amir.shams@uthct.edu""",2003,United States,university
25,11585536,"""TB/HIV Research Laboratory, Brown University, Providence, RI 02906, USA. Anne_DeGroot@Brown.edu""",2001,United States,university
26,11086086,"""Department of Immunohematology and Blood Transfusion, Leiden University Medical Center, Leiden, The Netherlands. ageluk@lumc.nl""",2000,Netherlands,university
27,10773346,"""Department of Immunology, Epimmune Inc., San Diego, CA 92121, USA.""",2000,United States,university
28,2333291,"""Molecular Immunology Section, National Institute of Neurological Disorders and Stroke, National Institutes of Health, Bethesda, MD 20892.""",1990,Moldova,institute
29,11035787,"""Division of Dermatology, University of California School of Medicine, Los Angeles, CA 90095, USA.""",2000,United States,university
30,7544398,"""Department of Medicine, University of Massachusetts Medical Center, Worcester 01655, USA.""",1995,United States,university
31,11796635,"""TB Research Programme, MRC Laboratories, Fajara, The Gambia. petiet@stanford.edu""",2002,Gambia,private
32,9741848,"""Department of Molecular and Cellular Biology, Howard Hughes Medical Institute, Harvard University, Cambridge, Massachusetts 02138, USA.""",1998,United States,university
33,16041067,"""Biostructural Research, Department of Medicinal Chemistry, The Danish University of Pharmaceutical Sciences, Universitetsparken 2, DK-2100 Copenhagen, Denmark.""",2005,Denmark,university
34,11237810,"""Tuberculosis Research Programme, Medical Research Council Laboratories, Fajara, BANJUL, Gambia, West Africa. mklein@mrc.gm""",2001,Gambia,private
35,11745380,"""Microbiology and Tumorbiology Center, Karolinska Institute, Stockholm, Sweden. jehad.charo@mtc.ki.se""",2001,Sweden,institute
36,15194781,"""Vaccine Branch, Center for Cancer Research, National Cancer Institute, National Institutes of Health, Bethesda, MD 20892-1578, USA.""",2004,United States,institute
37,9886403,"""Department of Microbiology and Immunology, University of North Carolina, Chapel Hill 27599-7290, USA. collins1@med.unc.edu""",1999,United States,university
38,12816978,"""Department of Microbiology and Immunology and William K. Warren Medical Research Institute, University of Oklahoma Health Sciences Center, Oklahoma City, OK 73104, USA.""",2003,United States,university
39,9366399,"""Cytel Corporation, San Diego, CA 92121, USA. alexander@cytelcorp.com""",1997,United States,private
40,7510885,"""Cytel, San Diego, CA 92121.""",1994,Canada,private
41,7529283,"""Cytel, San Diego, CA 92121.""",1995,Canada,private
42,7532675,"""Department of Molecular and Experimental Medicine, Scripps Research Institute, La Jolla 92037.""",1995,,university
43,7536628,"""Cytel, San Diego, California 92121, USA.""",1995,United States,private
44,7706734,"""Surgery Branch, National Cancer Institute, National Institutes of Health, Bethesda, MD 20892, USA.""",1995,United States,institute
45,7732026,"""Laboratory of Molecular Immunology, Brigham &amp; Women&#x27;s Hospital, Boston, MA, USA.""",1995,United States,hospital
46,7742526,"""Memorial Sloan-Kettering Cancer Center, New York, NY 10021, USA.""",1995,United States,private
47,7823968,"""Cytel Corporation, San Diego, CA 92121.""",1994,Canada,private
48,7868898,"""Surgery Branch, National Cancer Institute, National Institutes of Health, Bethesda, MD 20892.""",1995,Moldova,institute
49,8047072,"""Cytel, San Diego, CA 92121.""",1994,Canada,private
50,8104103,"""Cytel Corporation, San Diego, California 92121.""",1993,United States,private
51,8144888,"""Beirne Carter Center for Immunology Research, University of Virginia School of Medicine, Charlottesville 22908.""",1994,United States,university
52,8144960,"""Department of Immunology, Cytel Corporation, San Diego, CA 92121.""",1994,Canada,university
53,8196768,"""Cattedra Malattie Infettive, Universit\xc3\xa0 di Parma, Italy.""",1994,Italy,university
54,8566090,"""Cytel Corporation, San Diego, CA 92121, USA.""",1996,United States,private
55,8671652,"""Cytel Corporation, San Diego, CA 92121, USA.""",1996,United States,private
56,8676071,"""Laboratory of Tumor Cell Biology, National Institutes of Health, Bethesda, Maryland 20892, USA.""",1996,United States,institute
57,8805655,"""Surgery Branch, National Cancer Institute, Bethesda, MD 20892, USA.""",1996,United States,institute
58,8871647,"""Cytel Corporation, San Diego, CA 92121, USA.""",1996,United States,private
59,8882405,"""Cytel Corporation, San Diego, California, USA.""",1996,United States,private
60,8938271,"""Cytel Corporation, San Diego, CA 92121, USA.""",1995,United States,private
61,9002445,"""Takara Shuzo Co., Ltd., Biotechnology Research Laboratories, SETA 3-4-1, OTSU, SHIGA, 520-21, Japan.""",1997,Japan,private
62,9029118,"""Cytel Corporation, San Diego, CA 92121, USA.""",1997,United States,private
63,9079808,"""R.W. Johnson Pharmaceutical Research Institute, San Diego, CA 92121, USA. VITIELLOM@PRIUS.JNJ.COM""",1997,United States,institute
64,9239396,"""Department of Molecular and Experimental Medicine, The Scripps Research Institute, La Jolla, California 92037, USA.""",1997,United States,university
65,9252123,"""Malaria Program, Naval Medical Research Institute, Bethesda, Maryland 20889-5670, USA.""",1997,United States,institute
66,9257824,"""Department of Immunology, Cytel Corporation, San Diego, CA 92121, USA.""",1997,United States,university
67,9331097,"""Microbiology and Tumor Biology Center, Karolinska Institute, Stockholm, Sweden.""",1997,Sweden,institute
68,9377553,"""Department of Surgery, Medical Institute of Bioregulation, Kyushu University, Beppu, Japan.""",1997,Japan,university
69,9410918,"""Department of Molecular &amp; Experimental Medicine, The Scripps Research Institute, La Jolla, CA 92037, USA.""",1997,United States,university
70,9438205,"""Cytel Corporation, San Diego, CA 92121, USA.""",1997,United States,private
71,9544234,"""Cytel Corporation, San Diego, California 92121, USA.""",1998,United States,private
72,9551926,"""Surgery Branch, National Cancer Institute, Bethesda, MD 20892, USA. rongfu@pop.nci.nih.gov""",1998,United States,institute
73,9727076,"""Department of Cellular Biology, University of Georgia, Athens, Georgia 30602, USA.""",1998,United States,university
74,9754653,"""First Department of Surgery, Yamanashi Medical University, Japan. kojikono@res.yamanashi-med.ac.jp""",1998,Japan,university
75,9780224,"""Scripps Research Institute, La Jolla, CA 92037, USA.""",1998,United States,institute
76,9797143,"""Epimmune, Inc., San Diego, CA, USA.""",1998,United States,private
77,9809996,"""Surgery Branch, National Cancer Institute, NIH, Bethesda, Maryland 20892-1502, USA. Maria_Parkhurst@nih.gov""",1998,United States,institute
78,9831133,"""Epimmune Inc., San Diego, CA 92121, USA. jalexander@epimmune.com""",1998,United States,private
79,9862732,"""Ronald O. Perelman Department of Dermatology, New York University Medical Center, NY 10016, USA.""",1998,United States,university
80,9870321,"""Center for AIDS Research at Stanford, Stanford University Medical Center, California 94305, USA. kundu@leland.stanford.edu""",1998,United States,university
81,9916747,"""Department of Molecular and Experimental Medicine, Scripps Research Institute, La Jolla, CA 92037, USA.""",1999,United States,university
82,9927058,"""Takara Shuzo Co., Ltd., Biotechnology Research Laboratories, Otsu, Shiga, Japan.""",1999,Japan,private
83,9935237,"""Biotechnology Research Laboratories, Takara Shuzo Co., Ltd., Otsu, Shiga, Japan. nukayai@takara.co.jp""",1999,Japan,private
84,10201910,"""Epimmune, San Diego, CA 92121, USA. gishioka@epimmune.com""",1999,United States,private
85,10352286,"""Fondazione Andrea Cesalpino, Istituto di I Clinica Medica and Dipartimento di Malattie Infettive, Universit\xc3\xa0 di Roma La Sapienza, Italy.""",1999,Italy,university
86,10395702,"""Department of Oncology and Pathology, Radiumhemmet, Karolinska Hospital, Stockholm, Sweden.""",1999,Sweden,hospital
87,10473111,"""Department of Surgery, Medical Institute of Bioregulation, Kyushu University, Beppu, Japan.""",1999,Japan,university
88,10599997,"""Epimmune, Inc., San Diego, California 92121, USA. blivingston@epimmune.com""",1999,United States,private
89,11033019,"""The Ronald O. Perelman Department of Dermatology, New York University Medical Center, New York, NY 10016, USA. srr3@is.nyu.edu""",2000,United States,university
90,11035079,"""Epimmune Inc., San Diego, CA 92121, USA. dmckinney@epimmune.com""",2000,United States,private
91,11082510,"""Microbiology and Tumorbiology Center, Karolinska Institute, Stockholm, Sweden. victor.levitsky@mtc.ki.se""",2000,Sweden,institute
92,11139320,"""Department of Surgery II, Wakayama Medical School, Wakayama, 641-0012, Japan.""",2001,Japan,university
93,11152503,"""Partners AIDS Research Center and Infectious Disease Unit, Massachusetts General Hospital and Harvard Medical School, Boston, Massachusetts, USA.""",2001,United States,hospital
94,11390031,"""Foundazione Andrea Cesalpino, Dipartimento di Medicina Interna, Universit\xc3\xa0 degli Studi di Roma La Sapienza, Policlinico Umberto I, Rome, Italy.""",2001,Italy,university
95,11424007,"""AIDS Research Center and Cancer Center, Massachusetts General Hospital and Harvard Medical School, Boston, MA, USA.""",2001,United States,hospital
96,11441084,"""Epimmune, 5820 Nancy Ridge Drive, San Diego, CA 92121, USA.""",2001,United States,private
97,11560998,"""Epimmune Incorporated, San Diego, CA 92121, USA.""",2001,United States,private
98,11704282,"""Epimmune, Inc., San Diego, CA 92121, USA.""",2001,United States,private
99,12055232,"""Epimmune, San Diego, CA 92121, USA. jalexander@epimmune.com""",2002,United States,private
100,12097265,"""Surgery Branch, National Cancer Institute, NIH, Bethesda, Maryland 20892, USA. gang_zeng@nih.gov""",2002,United States,institute
101,12473604,"""Department of Urology, School of Medicine, Keio University, Tokyo 160-8582, Japan.""",2002,Japan,university
102,12538723,"""National Cancer Institute, National Institutes of Health, Bethesda, MD 20892, USA.""",2003,United States,institute
103,12559623,"""Epimmune Inc., San Diego, California 92121, USA. jalexander@epimmune.com""",2003,United States,private
104,12594302,"""Institute of Food Science and Technology, Consiglio Nazionale delle Ricerche, Avellino, Italy. cgianfrani@isa.av.cnr.it""",2003,Italy,institute
105,12886016,"""Malaria Program, Naval Medical Research Center, Silver Spring, MD 20910-7500, USA.""",2003,United States,institute
106,1331239,"""Biological Resources Branch, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, MD 20892.""",1992,Moldova,institute
107,8384718,"""Department of Tumor Biology, Karolinska Institute, Stockholm, Sweden.""",1993,Sweden,university
108,9634482,"""Institute of Cell Biology, Department of Immunology, Auf der Morgenstelle 15 (Verf\xc3\xbcgungsgeb\xc3\xa4ude), D-72076 T\xc3\xbcbingen, Germany.""",1998,Germany,university
109,10553078,"""Anthony Nolan Research Institute, The Royal Free and University College Medical School, London, United Kingdom.""",1999,United Kingdom,university
110,7506728,"""Biological Resources Branch, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, MD 20892.""",1994,Moldova,institute
111,7528217,"""Laboratory of Molecular Structure, NIAID, National Institutes of Health, Bethesda, Maryland 20892.""",1994,United States,institute
112,2247148,"""Ludwig Institute for Cancer Research, Stockholm, Sweden.""",1990,Sweden,institute
113,7529284,"""Department of Biochemistry and Molecular Biology, Harvard University, Cambridge, MA 02138.""",1995,United States,university
114,7684681,"""Department of Immunohematology and Blood Bank, University Hospital, Leiden, The Netherlands.""",1993,Netherlands,hospital
115,8617300,"""Institute of Molecular Medicine, John Radcliffe Hospital, Oxford, GB.""",1996,United Kingdom,hospital
116,7694806,"""Department of Biochemistry and Molecular Biology, Howard Hughes Medical Institute, Harvard University, Cambridge, Massachusetts 02138.""",1993,United States,university
117,12796775,"""Division of Structural Biology, The Henry Wellcome Building for Genomic Medicine, Roosevelt Drive, Oxford OX3 7BN, UK.""",2003,United Kingdom,private
118,2017257,"""Department of Biochemistry and Molecular Biology, Harvard University, Cambridge, Massachusetts 02138.""",1991,United States,university
119,7679507,"""Biological Resources Branch, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, MD 20892.""",1993,Moldova,institute
120,2062316,"""Department of Pharmacology, University of Massachusetts Medical School, Worcester 01655.""",1991,United States,university
121,2480387,"""Institute of Molecular Medicine, John Radcliffe Hospital, Oxford, England.""",1989,United Kingdom,hospital
122,9647225,"""Laboratoire d&#x27;Immunologie des Pathologies Infectieuses et Tumorales, Institut National de la Sant\xc3\xa9 et de la Recherche M\xc3\xa9dicale, U445, Universit\xc3\xa9 Ren\xc3\xa9 Descartes, Paris, France. ostankovitch@cochin.inserm.fr""",1998,France,university
123,7889404,"""Department of Microbiology and Immunology, University of North Carolina, Chapel Hill 27599-7290.""",1994,United States,university
124,8494822,"""Molecular Immunology Section, National Institute of Neurological Disorders and Stroke, National Institutes of Health, Bethesda, MD 20892.""",1993,Moldova,institute
125,1372560,"""Institute of Molecular Medicine, John Radcliffe Hospital, Oxford, GB.""",1992,United Kingdom,hospital
126,2126195,"""Institute of Molecular Medicine, John Radcliffe Hospital, Oxford, UK.""",1990,United Kingdom,hospital
127,1448154,"""Department of Biochemistry and Molecular Biology, Harvard University, Cambridge, Massachusetts 02138.""",1992,United States,university
128,7523137,"""Molecular Immunology Group, Institute of Molecular Medicine, John Radcliffe Hospital, Headington, Oxford.""",1994,United Kingdom,hospital
129,7547687,"""Department of Microbiology, University of Virginia, Charlottesville 22908, USA.""",1995,United States,university
130,7543776,"""Laboratory of Molecular Structure, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, Maryland 20892, USA.""",1995,United States,institute
131,7679646,"""Institute of Molecular Medicine, John Radcliffe Hospital, Oxford, GB.""",1993,United Kingdom,hospital
132,7542549,"""Institute of Molecular Medicine, John Radcliffe Hospital, Oxford, England.""",1995,United Kingdom,hospital
133,3264322,"""Institute for Molecular Medicine, John Radcliffe Hospital, Oxford, United Kingdom.""",1988,United Kingdom,hospital
134,2553813,"""Molecular Immunology Section, National Institute of Neurological Disorders and Bethesda, MD 20892.""",1989,Moldova,institute
135,7525458,"""Max-Planck-Institut f\xc3\xbcr Biologie, Abteilung Immungenetik, Universit\xc3\xa4t T\xc3\xbcbingen, Germany.""",1994,Germany,university
136,11689620,"""Liver Diseases Section, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health, Bethesda, Maryland 20982, USA.""",2001,United States,institute
137,15657948,"""The Division of Structural Biology, The Wellcome Trust Centre for Human Genetics, Oxford, UK.""",2005,United Kingdom,private
138,9725236,"""Kuzell Institute for Arthritis and Infectious Diseases, California Pacific Medical Center Research Institute, San Francisco 94115, USA. nahid@cooper.cpmc.org""",1998,United States,institute
139,8642561,"""Institut de Biologie Mol\xc3\xa9culaire et Cellulaire, UPR 9021 CNRS, Strasbourg, France.""",1996,France,institute
140,16462803,"""Division of Immunology, The Netherlands Cancer Institute, Plesmanlaan 121, 1066 CX, Amsterdam, The Netherlands.""",2006,Netherlands,institute
141,16210487,"""Department of Microbiology and Immunology, City University of New York Medical School, New York, New York 10031, USA.""",2005,United States,university
142,9240420,"""Department of Parasitology, Chiba University School of Medicine, Chuo-ku, Japan. yano@med.m.chiba-u.ac.jp""",1997,Japan,university
143,16172378,"""La Jolla Institute for Allergy and Immunology, 3030 Bunker Hill Street, Suite 326, San Diego, CA 92109, USA.""",2005,United States,institute
144,16210659,"""La Jolla Institute for Allergy and Immunology, San Diego, CA 92109, USA.""",2005,United States,institute
145,16175596,"""Department of Medicine II, University Hospital Freiburg, Freiburg, Germany.""",2005,Germany,hospital
146,15867491,"""Unit\xc3\xa9 d&#x27;Immunopathologie Virale, Centre de Recherche, H\xc3\xb4pital Sainte-Justine, Montreal, Quebec, Canada.""",2005,Canada,private
147,7643853,"""Cytel Corporation, San Diego, CA 92121, USA.""",1995,United States,private
148,11964304,"""Department of Infectious Diseases and Microbiology, Graduate School of Public Health, University of Pittsburgh, Pennsylvania 15261, USA.""",2002,United States,university
149,16393977,"""Department of Biochemistry and Molecular Biology, University of Ferrara, Ferrara, Italy.""",2006,Italy,university
150,15939790,"""Department of Medicine, Johns Hopkins Medical Institutions, Baltimore, MD 21231, USA. acox@jhmi.edu""",2005,United States,university
151,9680137,"""Department of Tumour Biology, Institute of Medical Science, University of Tokyo, Japan.""",1998,Japan,university
152,12100728,"""Department of Biochemistry and Molecular Biology, University of Ferrara, Italy.""",2002,Italy,university
153,11754355,"""Dipartimento di Biochimica e Biologia Molecolare, Universit\xc3\xa0 di Ferrara, Ferrara, Italy.""",2002,Italy,university
154,11732011,"""Unit\xc3\xa9 Mixte CNRS BioM\xc3\xa9rieux UMR 2142, Lyon, France.""",2001,France,private
155,12634388,"""Cancer Research U.K. Viral Oncology Group, The Wolfson Institute for Biomedical Research, University College London, United Kingdom.""",2003,United Kingdom,university
156,11281563,"""Department of Internal Medicine, Medical School and University Clinic, University of Navarra, Pamplona, Spain. psarobe@unav.es""",2001,Spain,university
157,12428245,"""IRCCS Policlinico San Matteo, Pavia, Italy.""",2002,Italy,private
158,12021342,"""Liver Diseases Section, NIDDK, National Institutes of Health. Laboratory of Hepatitis Research, Center for Biologics Evaluation and Research, Food and Drug Administration, Bethesda, Maryland 20892, USA.""",2002,United States,institute
159,10432280,"""Department of Internal Medicine, University Hospital, Inselspital, 3010 Bern, Switzerland.""",1999,Switzerland,hospital
160,9739058,"""Molecular Immunogenetics and Vaccine Research Section, Metabolism Branch, National Cancer Institute, National Institutes of Health, Bethesda, Maryland 20892, USA.""",1998,United States,institute
161,12438599,"""Unit\xc3\xa9 Mixte CNRS-BioM\xc3\xa9rieux, UMR 2142, Ecole Normale Sup\xc3\xa9rieure, 46 All\xc3\xa9e d&#x27;Italie, 69364 Lyon C\xc3\xa9dex 07, France.""",2002,France,private
162,16140790,"""Infectious Diseases Unit, Center of Molecular Medicine, Karolinska Institutet, Karolinska University Hospital L08:03, SE-17177 Stockholm, Sweden. oscar.norbeck@cmm.ki.se""",2005,Sweden,hospital
163,15939788,"""Department of Medicine, Portland Veterans Administration Medical Center, Oregon Health Science University, Portland, OR 97239, USA.""",2005,United States,university
164,9753499,"""Liver Research Unit, Chang Gung Memorial Hospital, Chang Gung University College of Medicine, Taipei, Taiwan.""",1998,Taiwan,hospital
165,16781760,"""Vaccine Branch, National Cancer Institute, National Institutes of Health, Bldg. 10-Rm 6B-09, NIH, Bethesda, MD 20892-1578, USA. sangkono@baylorhealth.edu""",2006,United States,institute
166,7884894,"""Liver Diseases Section, National Institute of Diabetes and Digestive and Kidney Diseases, Bethesda, Maryland.""",1995,United States,institute
167,16912286,"""Molecular and Integrative Neurosciences Department, The Scripps Research Institute, La Jolla, CA 92037, USA. jbotten@scripps.edu""",2006,United States,university
168,16987064,"""Department of Microbiology, Saitama Medical School, Saitama, Japan.""",2006,Japan,university
169,16887973,"""Center for Molecular Immunology and Center for Molecular Virology, Institute of Microbiology, Chinese Academy of Sciences (CAS), Beijing, The People&#x27;s Republic of China.""",2006,China,institute
170,16630549,"""Department of Ophthalmology, Mackay Memorial Hospital, Taipei 104, Taiwan.""",2006,Taiwan,hospital
171,11084612,"""Department of Internal Medicine I, University of Bonn, Bonn, Germany.""",2000,Germany,university
172,14634108,"""Division of Translational Immunology and Biodefense, La Jolla Institute for Allergy and Immunology, San Diego, CA 92121, USA.""",2003,United States,institute
173,10603392,"""Molecular Immunology Group, Institute of Molecular Medicine, Nuffield Department of Medicine, University of Oxford, John Radcliffe Hospital, Oxford OX3 9DU, United Kingdom. Mha3@cdc.gov""",2000,United Kingdom,hospital
174,12722940,"""Institute of Basic Medical Sciences, Chinese Academy of Medical Sciences, School of Basic Medicine, Peking Union Medical College, Beijing, PR China.""",2003,China,university
175,11552688,"""BIC-KRDL, Kent Ridge Digital Labs, 21 Heng Mui Keng Terrace, Singapore 119613. vladimir@krdl.org.sg""",2001,Singapore,private
176,11012624,"""Division of Geographic Medicine, Case Western Reserve University School of Medicine, Cleveland, OH 44106-4983, USA.""",2000,United States,university
177,9864030,"""Centro de Biolog\xc3\xada Molecular Severo Ochoa, Consejo Superior de Investigaciones Cient\xc3\xadficas and Universidad Aut\xc3\xb3noma de Madrid, Facultad de Ciencias, Cantoblanco, Spain.""",1998,Spain,university
178,7535817,"""Institute of Biochemistry, University of Lausanne, Epalinges, Switzerland.""",1995,Switzerland,university
179,1280333,"""Institute of Molecular Medicine, University of Oxford, John Radcliffe Hospital, UK.""",1992,United Kingdom,hospital
180,12078650,"""Instituto de Immunologi\xc3\xa1 del Valle, Universidad del Valle, Cali, Colombia. marami@inmuno.univalle.edu.co""",2002,Colombia,university
181,7595214,"""Malaria Program, Naval Medical Research Institute, Bethesda, Maryland 20889, USA.""",1995,United States,institute
182,7493916,"""Department of Pathology, Asahikawa Medical College.""",1995,,university
183,8649443,"""Genetic Engineering Research Institute, Korea Institute of Science and Technology, Taejon, Korea.""",1996,South Korea,institute
184,9282783,"""Korea Research Institute of Bioscience and Biotechnology, Taejon, South Korea.""",1997,South Korea,institute
185,12399208,"""Division for Development of Peptide Therapeutics, TherapiaGene Corp, 341 Pojung-ri, Koosung-Myon, Yongin City, Kyonggi-do 449-910, South Korea.""",2002,South Korea,private
186,8567982,"""Liver Research Unit, Chang Gung Memorial Hospital, Chang Gung Medical College, Taipei, Taiwan.""",1996,Taiwan,hospital
187,8617954,"""Department of Immunohematology and Blood Bank, University Hospital Leiden, The Netherlands.""",1996,Netherlands,hospital
188,7683326,"""Department of Molecular and Experimental Medicine, Scripps Research Institute, La Jolla, CA 92037.""",1993,Canada,university
189,7679709,"""Department of Molecular and Experimental Medicine, Scripps Research Institute, La Jolla, California 92037.""",1993,United States,university
190,9328331,"""Cattedra Malattie Infettive, Universit\xc3\xa1 di Parma, e Divisione Malattie Infettive e Immunopatologia Virale, Azienda Ospedaliera di Parma, Italy.""",1997,Italy,university
191,8624812,"""Nuffield Department of Clinical Medicine, Institute of Molecular Medicine, John Radcliffe Hospital, Oxford, United Kingdom.""",1996,United Kingdom,hospital
192,10544195,"""Institut National de la Sant\xc3\xa9 et Recherche Medicale (INSERM) U25, H\xc3\xb4pital Necker, 75015 Paris, France.""",1999,France,institute
193,16156661,"""Pure Protein L.L.C., Oklahoma City, Oklahoma 73104-3698, USA. rico-buchli@ouhsc.edu""",2005,United States,private
194,1658152,"""Cytel, San Diego, CA 92121.""",1991,Canada,private
195,10540322,"""Unit\xc3\xa9 d&#x27;Immunit\xc3\xa9 Cellulaire Antivirale, D\xc3\xa9partement SIDA-R\xc3\xa9trovirus, Institut Pasteur, Paris, France. hfirat@pasteur.fr""",1999,France,institute
196,11451178,"""Division of Viral Immunology, Center for AIDS Research, Kumamoto University, Japan.""",2001,Japan,university
197,15820153,"""Institut National de la Sant\xc3\xa9 et de la Recherche M\xc3\xa9dicale, Unit\xc3\xa9 370, Institut Pasteur, Unit\xc3\xa9 carcinogen\xc3\xa8se h\xc3\xa9patique et virologie mol\xc3\xa9culaire, D\xc3\xa9partement de m\xc3\xa9decine mol\xc3\xa9culaire, 28, rue du Dr. Roux, 75724 Paris cedex 15, France.""",2005,France,institute
198,10488697,"""Department of Internal Medicine, Johannes Gutenberg-University Mainz, Germany.""",1999,Germany,university
199,17123567,"""Department of Microbiology and Immunology, City University of New York Medical School, New York, NY 10031, USA.""",2007,United States,university
200,17166907,"""Molecular and Integrative Neurosciences Department, The Scripps Research Institute, SP30-2020, 10550 North Torrey Pines Road, La Jolla, CA 92037, USA. jbotten@scripps.edu""",2007,United States,university
201,17254671,"""Laboratory of Cellular Immunology, Department of Medical Anatomy, The Panum Institute, University of Copenhagen, Blegdamsvej 3, 2200 Copenhagen N, Denmark.""",2007,Denmark,university
202,17291638,"""EpiVax, Inc., Providence, RI 02903, USA.""",2007,United States,private
203,17109345,"""Division of Clinical Virology, Karolinska Institutet at Karolinska University Hospital Huddinge, S-141 86, Stockholm, Sweden.""",2006,Sweden,hospital
204,17225159,"""Department of Gastroenterology and Metabology, Graduate School of Medicine, Ehime University, Toh-on, Ehime, Japan.""",2007,Japan,university
205,11566321,"""Departamento de Biolog\xc3\xada Molecular, Instituto de Parasitolog\xc3\xada y Biomedicina L\xc3\xb3pez Neyra, CSIC, Calle Ventanilla 11, 18001-Granada, Spain.""",2001,Spain,institute
206,12737989,"""Unit\xc3\xa9 d&#x27;immunit\xc3\xa9 cellulaire antivirale, D\xc3\xa9partement d&#x27;immunologie, Institut Pasteur, 28, rue du Dr-Roux, 75724 cedex 15, Paris, France.""",2003,France,institute
207,16879036,"""Center for Tropical and Emerging Global Diseases, University of Georgia, Athens, Georgia, United States of America.""",2006,Georgia,university
